UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
KRC TIMES,@KrcTimes,2022-09-02T11:51:08.000Z,"For the people of Bengal, Durga Puja is not just a festival, it’s an emotion: Mamta Banerjee https://krctimes.com/photo/for-the-people-of-bengal-durga-puja-is-not-just-a-festival-its-an-emotion-mamta-banerjee/#.YxHtfyefuFM.twitter… 
@MamataOfficial
 @AITCofficial
 #DurgaPuja #Kolkata #KRCTIMES #UNESCO 
@UNESCO
 @IndiaatUNESCO
 #Commonman",,,
Trishna Das Kumar,@TDasKumar,2022-09-02T11:40:10.000Z,"These smiles are Priceless 
#DurgaPuja",1,4,29
Biki Das,@BikiDasAITC,2022-09-02T11:39:16.000Z,"Replying to 
@barnalimy",,,
Keyline DigiTech,@KeylineDigiTech,2022-09-02T09:43:42.000Z,"বাংলা যেটা আজকে করে, 
ভারত সেটা ভাবে পরে।
ধন্যবাদ ইউনেস্কো!

#Keylinedigitech #BanglarGorbo #celebration #IntangibleCulturalHeritage #durgapuja #UNESCO #kolkata #ThinkDigitalWithUs #DigitalMarketingAgency #DigitalMarketing #webdesign",,1,2
#MacroTravellerTamil,@MacroTraveller,2022-09-02T09:21:17.000Z,"West Bengal to offer 10-day Durga Puja package to increase tourism.

#MacroTraveller #westbengal #tourism #tourist #durgapuja #WestBengalTourism 

https://macrotraveller.com/west-bengal-to-offer-10-day-durga-puja-package-offer/…",,,
𝙼𝚞𝚗𝚗𝚊,@YourboyMunna,2022-09-02T09:20:55.000Z,"@UNESCO
 -এর স্বীকৃতি যার হাত ধরে এসেছে, সেই তপতী গুহঠাকুরতা কে সম্মান দেওয়া হয়েছে রাজ্যসরকারের তরফে। নিঃসন্দেহে প্রশংসনীয় উদ্যোগ আর তপতী দেবীকেও ধন্যবাদ৷

#UNESCOCulturalHeritage #DurgaPuja 

(২/২)",,,1
Probo,@probo_india,2022-09-02T09:17:57.000Z,"Will UNESCO include 'Garba' this year? 
Share your Opinion and earn huge profits

#UNESCO #DurgaPuja #garba #ProboOpinions",,2,9
Probo,@probo_india,2022-09-02T09:17:57.000Z,"Last year, Durga Puja was included in UNESCO’s intangible cultural heritage list and for 2022, India has nominated ‘Garba’. 
(2/3)

#UNESCO #DurgaPuja #garba #ProboOpinions",1,3,16
My.Kolkata,@TT_My_Kolkata,2022-09-02T09:15:00.000Z,"The entire stretch of the Shyambazar-bound flank was finally opened to traffic only after 4.30pm. #RoadTraffic 
@KPTrafficDept
 @KolkataPolice
 @UNESCO
 #DurgaPuja2022 #DurgaPuja #Kolkata #MyKolkata",,1,
Shawmava Mukherjee,@IndiCoder18,2022-09-02T09:13:20.000Z,"Shot on iQOO 9T. Do you like the colours? I don't find them boosted at all. Only some sunlight was coming through the window.

And yes, that's Pujabharshiki Anandamela. 
#DurgaPuja",1,1,12
Santanu Roy,@Santanu83034089,2022-09-02T08:56:44.000Z,"""We've Only One CASTE in #WestBengal and that is HUMANITY""
- 
@MamataOfficial
 

 A Glimpse of the Procession of Bengal's #DurgaPuja #UNESCOCulturalHeritage Thanks to #UNESCO

#MamataBanerjee 
#TMCS",,,2
@AkashAcharya427,@AkashAcharya427,2022-09-02T08:05:17.000Z,"@MamataOfficial
 @UNSCO_MEPP
 #DurgaPuja  #WestBengal",,,
@AkashAcharya427,@AkashAcharya427,2022-09-02T08:03:37.000Z,"#DurgaPuja  বাঙালির গর্ব 
@MamataOfficial
  @UNSCO_MEPP
  #thebestintheworld",1,,
Grace,@Grace_Pokefan1,2022-09-02T07:52:36.000Z,"Just a month to go 
I'm super excited 

#DurgaPuja #WestBengal",3,2,16
Rafikul Molla,@Rafikul98543381,2022-09-02T07:49:44.000Z,"Replying to 
@Usharanimondal1
 and 
@MamataOfficial",,,
My.Kolkata,@TT_My_Kolkata,2022-09-02T07:45:00.000Z,"This year Sreebhumi will be modelling its pandal on St Peter’s Basilica in Vatican City. #CrowdManagement #Durgapuja2022 #DurgaPuja 
@MyBidhannagar
 @bidhannagarpc
 #Kolkata #MyKolkata",,,
Kolkata Hindi News,@hindi_kolkata,2022-09-02T07:30:08.000Z,"10 दिन के दुर्गा पूजा पैकेज के जरिए घूमिये पश्चिम बंगाल 

 https://kolkatahindinews.com/visit-west-bengal-through-the-10-day-durga-puja-package/… #DurgaPuja #Durgapuja2022 #Bengals #HindiNews",,,2
kishore dutta,@kishore28502805,2022-09-02T07:03:38.000Z,"‘এই স্বীকৃতি মুখ্যমন্ত্রী চুরি করে নিচ্ছেন, এটা বলা আরও ভুল’, বললেন গবেষক তপতী গুহঠাকুরতা
#Kolkata #UNESCO #DurgaPuja2022 #MamataBanerjee #TMC  #UNESCOCulturalHeritage #DurgaPuja #CulturalHeritage #thanksgivingrally",,,
TimesTravel,@TOItravel,2022-09-02T06:59:28.000Z,"West Bengal to offer 10-day Durga puja package along with a trip to Sundarbans to boost tourism  

#westbengal #durgapuja #sundarbans",,,
Payel Shaheer,@Payel_sns,2022-09-02T06:57:41.000Z,"28 Days left to Durga Puja
Shaheera & all birdies (Outside of West Bengal) I request to all please come Kolkata during 
29 September - 5 October 2022
I am sure that you guys will really enjoy our big festival  
@Shaheer_S
 @ShaheerBirdieFC
 

#ShaheerSheikh #Birdies #DurgaPuja",3,4,9
Badal Debnath,@Badalofficial71,2022-09-02T06:56:33.000Z,"Hon'ble Chief Minister Mamata Banerjee congratulating Professor Tapati Guha-Thakurata for preparing the application for her research on 'Durga Puja in Kolkata' and art and culture of #WestBengal #DurgaPuja2022 #UNESCO #DurgaPuja #TMCS 
@AITCofficial
 @MamataOfficial
 #MamataBanerjee",3,3,10
𝐓𝐰𝐞𝐞𝐭𝐬 𝐨𝐟 𝐀𝐧 𝐎𝐫𝐝𝐢𝐧𝐚𝐫𝐲 𝐆𝐮𝐲 ,@doibobani,2022-09-02T06:42:50.000Z,"Mine is #DurgaPuja & it's a month away... 

#DurgaPujo #DurgaPuja2022",,,
Puber Kalom,@PuberKalomDaily,2022-09-02T06:38:45.000Z,"‘ধর্ম যার যার,  উৎসব  সবার’, ধর্মীয় বিদ্বেষের বিরুদ্ধে ফের বার্তা মমতার
https://puberkalom.com/religion-belongs-to-everyone-festival-belongs-to-everyone-mamatas-message-again-against-religious-hatred/…
#PuberKalom #MamataBanerjee #RedRoad #Religious #festivals #Kolkata #DurgaPuja",,,1
Pinaki Chandra,@PinakiChandra7,2022-09-02T06:16:23.000Z,"Bengal thanks 
@UNESCO
 for recognising #DurgaPuja in the List of the ‘Intangible Cultural Heritage of Humanity’
#UNESCO #Durgapuja2022 
#KhelaHobe",,,
Liamtra,@liamtra,2022-09-02T06:15:00.000Z,"#WestBengal Tourism Minister informed that a 10-day package to explore the #Durgapuja #festival, its different sides, will be made available to the visitors, and that they are also weighting the option of starting a 15-day #Gangasagar package, 
Source:- TOI

#news #travelnews",,,
Ekhon Khobor,@ekhonkhobor18,2022-09-02T06:11:20.000Z,"#ekhonkhobor #DurgaPuja #DurgaPujo #Durgapuja2022 
আমরা গর্বিত, দেশ গর্বিত, বিশ্ব গর্বিত – মহামিছিলের পর টুইটারে প্রোফাইল পিকচার বদল মমতার 
@MamataOfficial
 @AITCofficial",,,2
Ekhon Khobor,@ekhonkhobor18,2022-09-02T06:09:28.000Z,"#ekhonkhobor #DurgaPuja #Durgapuja2022 #DurgaPujo 
পুজোয় এবার বড় চমক! – কলকাতার রাস্তায় চলবে দোতলা বাস, বুকিং কবে জেনে নিন শিগগির",,,
t2,@t2telegraph,2022-09-02T06:09:05.000Z,"Durga Puja means love is in the air. Actor Shaheb Bhattacherjee fully agrees! Listen in to his Puja dating tips! #love #Durgapuja #puja #datingtips #kolkatadurgapuja
@shaheb17",,,2
MBfan,@MB_fan001,2022-09-02T06:03:07.000Z,"#PuppetsOfBJP Busy Brokering Modi
#ABJukegaNehi

#UNESCO #DurgaPuja  #ManataBanerjee
#TMCS",,2,2
SaifuddinAITC,@SR_Tmc007,2022-09-02T05:59:09.000Z,"City of Joy #Kolkata Witnessed A Grand Procession Led by Hon'ble #WestBenga CM 
@MamataOfficial
#PuppetsOfBJP Busy Brokering Modi
#ABJukegaNehi

#UNESCO #DurgaPuja  #ManataBanerjee
#TMCS",6,17,22
