UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
LatestLY,@latestly,2022-09-02T12:56:43.000Z,"Ganeshotsav 2022: Delhi Pollution Control Committee Issues Guidelines for Ganesh Utsav, Durga Puja; No Plaster-of-Paris Idols Allowed
https://latestly.com/agency-news/india-news-no-plaster-of-paris-idols-delhi-pollution-control-committee-issues-guidelines-for-ganesh-utsav-durga-puja-4157748.html…
#Ganeshotsav2022 #GaneshChaturthi #Guidelines #PlasterofParis #Idols #DurgaPuja #Delhi #Pollution",,,
Scrabbl,@ScrabbIit,2022-09-02T12:37:42.000Z,"#Kolkata  takes out rally to thank #UNESCO for #Durgapuja2022 intangible cultural heritage tag!!

 #Kolkatadurgapuja #UNESCOCulturalHeritage  #Durgapuja",,1,1
Aaj Tak Bangla,@AajTakBangla,2022-09-02T12:34:53.000Z,"Puja Weight Loss Diet: ৩ সপ্তাহে ওজন ঝরে স্লিম পুজোর আগেই, রইল স্পেশাল ডায়েট
#PujaWeightLossTips #PujaWeightLoss #DurgaPuja #DurgaPuja2022",,,2
Biki Das,@BikiDasAITC,2022-09-02T11:39:16.000Z,"Replying to 
@barnalimy",,,
Newsz Now,@NewszNow,2022-09-02T11:14:49.000Z,"দুর্গা পুজো শিখতে গুজরাত থেকে আসছেন পুরোহিতরা

Priests from #Gujarat are coming to #Bengal to learn the rituals of #DurgaPuja

#DurgaPuja #puja #Sharodotsav #NewszNow",,2,2
critic,@VijitDas,2022-09-02T11:14:29.000Z,"Durgapuja
#DurgaPuja",,,
Vatan Ni Vat,@vatannivat1,2022-09-02T11:10:59.000Z,"દુર્ગા પૂજાને યુનેસ્કોએ સાંસ્કૃતિક વારસાનો દરજ્જો આપ્યો, CM મમતા બેનર્જીએ આભાર માન્યો

#DurgaPuja
#DurgaPujaKolkata
#MamataBanerjee #UNESCO
#UNESCOCulturalHeritage",,,
Drishtibhongi,@Drishtibhongi,2022-09-02T10:30:41.000Z,"পুজোর আগে কেনাকাটায় মেতে উঠুন 'উমা' র সঙ্গে। বং মিডিয়া সল্যুশন এর উদ্যোগে ২-৪ সেপ্টেম্বর বালিগঞ্জের সুধা হলে

#BongMediaSolutions #Exhibition #Shopping #DurgaPuja #DurgaPuja2022 #SudhaHall #Drishtibhongi",,,4
Sanghamitra Bandyopadhyay,@AITCSanghamitra,2022-09-02T10:25:49.000Z,"It is a matter of pride for every Bengali. Thank you 
@UNESCO
 and thank you 
@NickDLow
 Sir for appreciate our heritage culture and festivals.
#DurgaPuja",,11,14
Cine Gossip,@cine_gossip,2022-09-02T10:22:43.000Z,"মমতার পুজোর অনুষ্ঠানে নাচলেন শুভশ্রী মিমি সৌমিতৃষা সোনামনি সায়ন্তিকা দেখুন সেই ভিডিও → https://youtu.be/8uw9rFTAuLE

#মমতা #শুভশ্রী #মিমি #সৌমিতৃষা #সোনামনি #MamataBanerjee #MamtaBanerjee #UNESCO #DurgaPuja #DurgaPujo #DurgaPuja2022 #Subhashree #SubhashreeGanguly #MimiChakraborty",,,
Santanu Roy,@Santanu83034089,2022-09-02T08:56:44.000Z,"""We've Only One CASTE in #WestBengal and that is HUMANITY""
- 
@MamataOfficial
 

 A Glimpse of the Procession of Bengal's #DurgaPuja #UNESCOCulturalHeritage Thanks to #UNESCO

#MamataBanerjee 
#TMCS",,,2
sindharam sanwarmal,@ssramji_in,2022-09-02T08:40:24.000Z,"Follow for more 
THE FINEST QUALITY MEWA
SINCE 1902 
DRY FRUITS PACKING 
BASKET | TRAY | BOX 
BEST AND GUARANTEED 
VISIT US AT - http://SSRAMJI.IN 
OR CALL - 9088875030 
#DRYFRUITS #dryfruitspacking #tray 
@box
 #Cuttputlli #DurgaPuja #GaneshChaturthi #indvspak #bidenspeech",,,
BISARGA: Online Supermarket In India - Bisarga.com,@BisargaShopping,2022-09-02T08:33:00.000Z,"#DurgaPujaKolkata: DURGA PUJA KOLKATA Received #UNESCO ""Intangible Cultural Heritage"" List Status Due To Endeavour Of ""Sangeet Natak Akademi"" Which Is Under Central Govt Institution Of Modi Govt. #DurgaPuja #DurgaPuja2022 #DurgaPujaFestival #Kolkata 
@BharatSolarEng
 @BisargaOnline",,4,5
Drishtibhongi,@Drishtibhongi,2022-09-02T08:30:00.000Z,"মন্ত্রোচ্চারণ থেকে শিষ্টাচার পৌরহিত্যের খুঁটিনাটি শিখতে রাজ্যের উপর নির্ভরশীল ভিন রাজ্যের পুরোহিতরাও!

#Priest #Brahmin #DurgaPuja2022 #DurgaPuja #WestBengal #Drishtibhongi

https://youtu.be/sry3672vynI",,,1
Manishaa Dubey,@iflynfeast,2022-09-02T08:30:00.000Z,"Tourists can board a cruise from Babughat, touch different ghats, and reach Sagar Islands. A trip to Sundarbans will also be included in the package, he said.

#iflynfeast #WestBengal #DurgaPuja #sundarbans #travel #boosttourism #travelpackage #travelupdate #news #cruise",,2,4
Santanu Roy,@Santanu83034089,2022-09-02T08:20:10.000Z,"City of Joy #Kolkata Witnessed A Grand Procession Led by Hon'ble #WestBenga CM 
@MamataOfficial
#PuppetsOfBJP Busy Brokering Modi
#ABJukegaNehi

#UNESCO #DurgaPuja  #ManataBanerjee
#TMCS",,,1
